product_id,vendor,product,sensor_type,measures_claimed,species,country,stygar_listed,stygar_validation,icar_validated,source,marketing_url,manual_url,devdocs_url,patent_urls,comparator,notes
P012,DeLaval,Herd Navigator,other,"Analysis of individual progesterone, LDH and BHB leves in milk for health and heat meassurement, every milking",dairy cattle,Sweden,yes,none,no,stygar,https://www.delaval.com/en-ie/our-solutions/farm-management/delpro-precision-analytics/herd-navigator/,,,,no,"In line milk biomarker analysis, progesterone, LDH and BHB. Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Stygar flags that validation studies exist without splitting self validation from independent validation product by product, so external here means flagged in their appendix."
P013,GEA,CowScout S,collar_accelerometer,"Monitoring activity (standing, walking, lying) for heat detection, and health",dairy cattle,Germany,yes,external,no,stygar,https://www.accelgen.com/upload/product/files/english/0412gea-cow-scout-brochure-lr.pdf,,,,no,"Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Stygar flags that validation studies exist without splitting self validation from independent validation product by product, so external here means flagged in their appendix."
P014,Connecterra,Ida,collar_accelerometer,"Monitoring activity for heat detection and health, rumination and feeding times",dairy cattle,Netherlands,yes,none,no,stygar,https://ida.io/ida-for-farmers/,,,,no,"Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Stygar flags that validation studies exist without splitting self validation from independent validation product by product, so external here means flagged in their appendix."
P015,BouMatic,StepMatrix,other,"Analyzes gat pressure to detect limp, for lameness diagnosis",dairy cattle,USA,yes,external,no,stygar,https://kruegersboumatic.com/automation/stepmetrix/,,,,no,"Load cell walkover plate for lameness detection. Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Stygar flags that validation studies exist without splitting self validation from independent validation product by product, so external here means flagged in their appendix."
P016,IceRobotics,IceQube and CowAlert,other,"Monitoring activity (lying, walking, rumination), Early detection and warning of lameness, health alerts",dairy cattle,UK,yes,external,no,stygar,https://www.icerobotics.com/wp-content/uploads/2019/07/Lameness-Detection_June19.pdf,,,,no,"Leg mounted accelerometer. Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Stygar flags that validation studies exist without splitting self validation from independent validation product by product, so external here means flagged in their appendix."
P017,Smartbow (Zoetis),Smartbow,ear_tag,"Monitoring activity for heat detection and health, rumination and feeding times, lying behaviour",dairy cattle,Austria,yes,external,no,stygar,https://www.smartbow.com/en/how-it-works.aspx,,,,no,"Ear tag combining accelerometer with indoor location. Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Stygar flags that validation studies exist without splitting self validation from independent validation product by product, so external here means flagged in their appendix."
P018,Ekomilk (Horizon Ltd),Ekomilk Horizon Unlimited Instrument,other,Milk composition: somatic cell count and milk parameters,dairy cattle,Bulgaria,no,not_listed,yes,icar,,,,,no,"On the ICAR validated sensor systems list as of 16 September 2026, the only three systems ICAR has validated. Included because ICAR is the nearest existing validation scheme, not because a welfare claim is expected. Whether it makes one is a finding of the register. Validation report saved in corpus."
P019,Brolis Sensor Systems,Brolis BLH01 in line sensor,other,Milk composition: milk fat and milk protein,dairy cattle,Lithuania,no,not_listed,yes,icar,,,,,no,"On the ICAR validated sensor systems list as of 16 September 2026, the only three systems ICAR has validated. Included because ICAR is the nearest existing validation scheme, not because a welfare claim is expected. Whether it makes one is a finding of the register. Validation report saved in corpus."
P020,Panazoo Italiana SRL,Panazoo MMI milk yield sensor system,other,Milk yield,dairy cattle,Italy,no,not_listed,yes,icar,,,,,no,"On the ICAR validated sensor systems list as of 16 September 2026, the only three systems ICAR has validated. Included because ICAR is the nearest existing validation scheme, not because a welfare claim is expected. Whether it makes one is a finding of the register. Validation report saved in corpus."
P021,AI4Animals,AI4Animals slaughterhouse monitoring,camera,"Monitoring of animal handling and stunning at slaughter, with a welfare metrics dashboard",cattle and pigs,Netherlands,no,not_listed,no,course,,,,,yes,"Comparator, not a dairy farm product and outside the dairy count. Built with welfare organisations and presented as accountability focused, so it tests whether a system built by welfare people scores better on column 4. Details to be taken from the recorded talk in the corpus."
